Frequency_Hz,Zre_data_Ohm,Zim_data_Ohm,Zre_fit_Ohm,Zim_fit_Ohm,Re_residual_Ohm,Im_residual_Ohm
223.87174987793,1.40475896875787,-1.75018928804911,1.3957471595010973,-1.7164110328472968,-0.009011809256772807,0.0337782552018131
199.525680541992,1.47795522429872,-1.91135239721673,1.4539544735927896,-1.884897050376571,-0.02400075070593033,0.026455346840158933
177.827682495117,1.55682909404705,-2.08695454257378,1.5190613046022226,-2.069303095026233,-0.03776778944482739,0.017651447547546883
158.488906860352,1.64791406237411,-2.27587171326386,1.5919358400770751,-2.271001963815598,-0.05597822229703486,0.004869749448261906
141.253265380859,1.74584939805849,-2.47936910872571,1.67354984485808,-2.491438453564153,-0.07229955320041004,-0.012069344838443019
125.89225769043,1.8539344502355,-2.70032292202373,1.7649936507180062,-2.7321392452293685,-0.08894079951749378,-0.03181632320563832
112.201454162598,1.97353632040777,-2.93895141774872,1.8674919760103408,-2.9947214405601894,-0.10604434439742927,-0.05577002281146948
99.9996719360352,2.10611313658184,-3.19252980947933,1.9824015976036733,-3.280853535420154,-0.12371153897816689,-0.08832372594082383
89.1248397827148,2.25135723243056,-3.46752380872005,2.111230867803241,-3.5922744164810174,-0.14012636462731898,-0.12475060776096747
79.4325408935547,2.40925425189948,-3.7617837192301,2.2556419408171684,-3.930770371701687,-0.15361231108231177,-0.16898665247158728
70.7943420410156,2.58577454474664,-4.07193214114637,2.4174475556185744,-4.298146987933352,-0.16832698912806565,-0.22621484678698245
63.0956497192383,2.76430293210019,-4.41897545961491,2.598612158312636,-4.696221703209938,-0.16569077378755415,-0.2772462435950276
56.234058380127,2.97169007867523,-4.78086020580687,2.801247670603678,-5.126816465482646,-0.1704424080715521,-0.34595625967577615
50.1186141967773,3.19149879430642,-5.17535666990595,3.0275775507146054,-5.59170207979359,-0.16392124359181448,-0.41634540988764
44.6681938171387,3.42484217761251,-5.59507205813993,3.27991175431057,-6.092594903677547,-0.14493042330194017,-0.49752284553761683
39.8105850219727,3.67467010675623,-6.05163534819449,3.5605916902728847,-6.631124929306345,-0.11407841648334527,-0.5794895811118543
35.4812088012695,3.94854243374461,-6.53699635133504,3.87194462300677,-7.208862116538222,-0.07659781073784,-0.6718657652031812
31.6226768493652,4.21349225709945,-7.08273264453946,4.216180232935453,-7.82727827876005,0.002687975836002998,-0.7445456342205903
28.1837863922119,4.5401580799445,-7.62752593983508,4.595306462875034,-8.48779919987183,0.05514838293053437,-0.8602732600367498
25.1187877655029,4.86100097568309,-8.27247181938617,5.011032631682731,-9.191882349153953,0.15003165599964152,-0.9194105297677826
22.3871212005615,5.21046122560811,-8.93873197042295,5.464606898746769,-9.941033547179753,0.2541456731386589,-1.0023015767568033
19.9525394439697,5.5897476559245,-9.67618457725743,5.956735947067791,-10.73700675057616,0.3669882911432918,-1.06082217331873
17.7827587127686,5.99169013264812,-10.4776911659115,6.487463162749089,-11.581956617831867,0.4957730301009686,-1.1042654519203676
15.8488998413086,6.42126384752252,-11.3576596479616,7.056126842035766,-12.47872369009427,0.634862994513246,-1.1210640421326694
14.125316619873,6.89507424505068,-12.3030709780661,7.661275362101336,-13.431026378072147,0.766201117050656,-1.1279554000060479
12.589225769043,7.38237014472321,-13.3458500981257,8.300672386957224,-14.443738989379213,0.9183022422340139,-1.097888891253513
11.2201404571533,7.93781437159153,-14.4788902701,8.971492319152523,-15.523379985235842,1.0336779475609923,-1.0444897151358408
9.99996280670166,8.53899386279462,-15.6998957642414,9.670324447025726,-16.67818313030792,1.1313305842311063,-0.978287366066521
8.91247940063477,9.17914460154831,-17.0258455742198,10.39350224149843,-17.918558543963943,1.2143576399501192,-0.8927129697441423
7.94325399398804,9.88361333076701,-18.4734655614903,11.137319010410131,-19.257251923348463,1.2537056796431205,-0.7837863618581622
7.07943868637085,10.6460560429913,-20.0304308633294,11.898305443691793,-20.709497031379563,1.252249400700494,-0.6790661680501628
